cpx_gene,pls_metabolite,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
ENSMUSG00000026803-P,"Benzaldehyde, 2,5-dimethoxy",0.8660254037844387,0.3333333333333332,3,,,3,0.4140393356054125,0.4144300825009167,6,0.4181210050035454,0.1761792716170176,12,2,True,+,0.4382347606604892
ENSMUSG00000068284-P,"Benzaldehyde, 2,5-dimethoxy",0.8660254037844387,0.3333333333333332,3,,,3,0.2070196678027062,0.6939066340345699,6,0.5296199396711575,0.0765748993715139,12,2,True,+,0.34225676856038256
ENSMUSG00000033237-P,"Benzaldehyde, 2,5-dimethoxy",-0.8660254037844387,0.3333333333333332,3,,,3,-0.2070196678027062,0.6939066340345699,6,-0.1951231356683211,0.5433701004162939,12,2,True,-,0.6955944799544662
ENSMUSG00000027536-P,"Benzaldehyde, 2,5-dimethoxy",-0.8660254037844387,0.3333333333333332,3,,,3,-0.2070196678027062,0.6939066340345699,6,-0.4738704723373514,0.1196417985012224,12,2,True,-,0.3893491473304123
ENSMUSG00000069727-P,"Benzaldehyde, 2,5-dimethoxy",0.5000000000000001,0.6666666666666667,3,,,3,0.8280786712108251,0.0417946804560452,6,0.5026246899500346,0.0958251629501007,12,2,True,+,0.36587202978072014
ENSMUSG00000004591-P,"Benzaldehyde, 2,5-dimethoxy",0.8660254037844387,0.3333333333333332,3,,,3,0.2070196678027062,0.6939066340345699,6,0.3623715376697393,0.2470337519295939,12,2,True,+,0.49157846760985957
ENSMUSG00000030060-P,"Benzaldehyde, 2,5-dimethoxy",-0.8660254037844387,0.3333333333333332,3,,,3,-0.2070196678027062,0.6939066340345699,6,-0.4181210050035454,0.1761792716170176,12,2,True,-,0.4382347606604892
ENSMUSG00000079442-P,"Benzaldehyde, 2,5-dimethoxy",0.8660254037844387,0.3333333333333332,3,,,3,0.6210590034081188,0.188187159830816,6,0.6968683416725756,0.0117877358628378,12,2,True,+,0.2237064650518294
ENSMUSG00000049295-P,"Benzaldehyde, 2,5-dimethoxy",0.8660254037844387,0.3333333333333332,3,,,3,0.4140393356054125,0.4144300825009167,6,0.2508726030021272,0.4315787458484175,12,2,True,+,0.6213688333796834
ENSMUSG00000049097-P,"Benzaldehyde, 2,5-dimethoxy",-0.8660254037844387,0.3333333333333332,3,,,3,-0.2070196678027062,0.6939066340345699,6,-0.3623715376697393,0.2470337519295939,12,2,True,-,0.49157846760985957
ENSMUSG00000046711-P,"Benzaldehyde, 2,5-dimethoxy",-0.8660254037844387,0.3333333333333332,3,,,3,-0.840168050416806,0.036277824521899,6,-0.2513123449750173,0.4307447403515212,12,2,True,-,0.6212498416849673
ENSMUSG00000020108-P,"Benzaldehyde, 2,5-dimethoxy",0.8660254037844387,0.3333333333333332,3,,,3,0.4140393356054125,0.4144300825009167,6,0.1951231356683211,0.5433701004162939,12,2,True,+,0.6955944799544662
ENSMUSG00000086610-P,"Benzaldehyde, 2,5-dimethoxy",0.5000000000000001,0.6666666666666667,3,,,3,0.1050210063021007,0.8430476505080737,6,0.3121273946115411,0.3233015588140826,12,2,True,+,0.548527670303665
ENSMUSG00000037262-P,"Benzaldehyde, 2,5-dimethoxy",0.8660254037844387,0.3333333333333332,3,,,3,0.2070196678027062,0.6939066340345699,6,0.3623715376697393,0.2470337519295939,12,2,True,+,0.49157846760985957
ENSMUSG00000045128-P,"Benzaldehyde, 2,5-dimethoxy",-0.8660254037844387,0.3333333333333332,3,,,3,-0.4140393356054125,0.4144300825009167,6,-0.1951231356683211,0.5433701004162939,12,2,True,-,0.6955944799544662
ENSMUSG00000021288-P,"Benzaldehyde, 2,5-dimethoxy",-0.8660254037844387,0.3333333333333332,3,,,3,-0.2070196678027062,0.6939066340345699,6,-0.5296199396711575,0.0765748993715139,12,2,True,-,0.34225676856038256
ENSMUSG00000023243-P,"Benzaldehyde, 2,5-dimethoxy",-0.8660254037844387,0.3333333333333332,3,,,3,-0.6210590034081188,0.188187159830816,6,-0.4747010960639216,0.1189041820280326,12,2,True,-,0.3893491473304123
ENSMUSG00000020389-P,"Benzaldehyde, 2,5-dimethoxy",-0.8660254037844387,0.3333333333333332,3,,,3,-0.4140393356054125,0.4144300825009167,6,-0.3623715376697393,0.2470337519295939,12,2,True,-,0.49157846760985957
ENSMUSG00000035941-P,"Benzaldehyde, 2,5-dimethoxy",0.8660254037844387,0.3333333333333332,3,,,3,0.2070196678027062,0.6939066340345699,6,0.3623715376697393,0.2470337519295939,12,2,True,+,0.49157846760985957
ENSMUSG00000035934-P,"Benzaldehyde, 2,5-dimethoxy",0.8660254037844387,0.3333333333333332,3,,,3,0.4140393356054125,0.4144300825009167,6,0.1393736683345151,0.6657396861677172,12,2,True,+,0.7753746133611039
ENSMUSG00000003344-P,"Benzaldehyde, 2,5-dimethoxy",-0.8660254037844387,0.3333333333333332,3,,,3,-0.6210590034081188,0.188187159830816,6,-0.3623715376697393,0.2470337519295939,12,2,True,-,0.49157846760985957
