n1,n2,source
1-Tetradecanol-P-F,Ferulic acid-F-F,FEC-PLS
1-Tetradecanol-P-F,L-Aspartic acid-F-F,FEC-PLS
1-Tetradecanol-P-F,L-Rhamnose-F-F,FEC-PLS
1-Tetradecanol-P-F,Oxalic acid-F-F,FEC-PLS
1-Tetradecanol-P-F,Supraene-F-F,FEC-PLS
1-Tetradecanol-P-F,Tricine-F-F,FEC-PLS
1-Tetradecanol-P-F,Uracil-F-F,FEC-PLS
"1,1'-Biphenyl, 3,4-diethyl--P-F","2,4-Di-tert-butylphenol-F-F",FEC-PLS
"1,1'-Biphenyl, 3,4-diethyl--P-F","3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino-F-F",FEC-PLS
"1,1'-Biphenyl, 3,4-diethyl--P-F",4-Hydroxybenzaldehyde-F-F,FEC-PLS
"1,1'-Biphenyl, 3,4-diethyl--P-F",D-(-)-Fructofuranose-F-F,FEC-PLS
"1,1'-Biphenyl, 3,4-diethyl--P-F",Itaconic acid-F-F,FEC-PLS
"1,1'-Biphenyl, 3,4-diethyl--P-F",L-Aspartic acid-F-F,FEC-PLS
"1,1'-Biphenyl, 3,4-diethyl--P-F",L-Isoleucine-F-F,FEC-PLS
"1,1'-Biphenyl, 3,4-diethyl--P-F",L-Threonine-F-F,FEC-PLS
"1,1'-Biphenyl, 3,4-diethyl--P-F",Pipecolic acid-F-F,FEC-PLS
"1,1'-Biphenyl, 3,4-diethyl--P-F",Tyrosine-F-F,FEC-PLS
"1,1'-Biphenyl, 3,4-diethyl--P-F",Uracil-F-F,FEC-PLS
"1,2-Benzenedicarboxylic acid-P-F",3-Deoxyhexitol-F-F,FEC-PLS
"1,2-Benzenedicarboxylic acid-P-F",4-Methyl-5-thiazoleethanol-F-F,FEC-PLS
"1,2-Benzenedicarboxylic acid-P-F",D-(+)-Glucosamine-F-F,FEC-PLS
"1,2-Benzenedicarboxylic acid-P-F",Itaconic acid-F-F,FEC-PLS
"1,2-Benzenedicarboxylic acid-P-F",N-Acetyl glucosamine methoxime-F-F,FEC-PLS
"1,2-Benzenedicarboxylic acid-P-F",Pentanedioic acid-F-F,FEC-PLS
"1,2-Benzenedicarboxylic acid-P-F",Pipecolic acid-F-F,FEC-PLS
"1,2-Benzenedicarboxylic acid-P-F",Uridine-F-F,FEC-PLS
"1,2-Butanediol-P-F",11-Methyldodecanol-F-F,FEC-PLS
"1,2-Butanediol-P-F","2-Allyl-1,4-dimethoxybenzene-F-F",FEC-PLS
"1,2-Butanediol-P-F",3-(3-Hydroxyphenyl)propanoic acid-F-F,FEC-PLS
