n1,node_cleaned,node_dir,,Name,
Glyceric acid,Glyceric acid,1,,DL-Phenylalanine,DL-Phenylalanine
Glycolic acid,Glycolic acid,-1,,"Erythrono-1,4-lactone","Erythrono-1,4-lactone"
"Guanidine, N,N-dimethyl","Guanidine, N,N-dimethyl",-1,,Ethanamine,Ethanamine
"Hexadecanoic acid, 4-hydroxybutyl ester","Hexadecanoic acid, 4-hydroxybutyl ester",-1,,Ethyl alpha-D-glucopyranoside,Ethyl alpha-D-glucopyranoside
"Hexadecanoic acid, tetradecyl ester","Hexadecanoic acid, tetradecyl ester",-1,,"Gluconolactone (3R,4S,5R,6R)","Gluconolactone (3R,4S,5R,6R)"
Hydracrylic acid,Hydracrylic acid,-1,,Glycerol,Glycerol
Hydroquinone,Hydroquinone,-1,,Glycerol tricaprylate,Glycerol tricaprylate
Hymexazole,Hymexazole,-1,,Glycolic acid,Glycolic acid
Idoxuridine,Idoxuridine,-1,,"Guanidine, N,N-dimethyl","Guanidine, N,N-dimethyl"
"Inosose-2, myo","Inosose-2, myo",-1,,Hexacosanoic acid,Hexacosanoic acid
Isonicotinic Acid,Isonicotinic Acid,1,,"Hexadecanoic acid, 4-hydroxybutyl ester","Hexadecanoic acid, 4-hydroxybutyl ester"
Itaconic acid,Itaconic acid,1,,"Hexadecanoic acid, tetradecyl ester","Hexadecanoic acid, tetradecyl ester"
Ketamine,Ketamine,-1,,Hydracrylic acid,Hydracrylic acid
L-(-)-Sorbofuranose,L-(-)-Sorbofuranose,-1,,Hydroquinone,Hydroquinone
L-(+)-Lactic acid,L-(+)-Lactic acid,-1,,Idoxuridine,Idoxuridine
L-5-Oxoproline,L-5-Oxoproline,-1,,"Inosose-2, myo","Inosose-2, myo"
L-Aspartic acid,L-Aspartic acid,-1,,Isonicotinic Acid,Isonicotinic Acid
L-Glutamic acid,L-Glutamic acid,-1,,Isopropyl myristate,Isopropyl myristate
L-Glutamine,L-Glutamine,-1,,Itaconic acid,Itaconic acid
L-Isoleucine,L-Isoleucine,-1,,Ketamine,Ketamine
L-Leucine,L-Leucine,-1,,L-(-)-Sorbofuranose,L-(-)-Sorbofuranose
l-Leucyl-l-valine,l-Leucyl-l-valine,1,,L-(+)-Lactic acid,L-(+)-Lactic acid
L-Norvaline,L-Norvaline,-1,,L-5-Oxoproline,L-5-Oxoproline
L-Proline,L-Proline,-1,,L-Aspartic acid,L-Aspartic acid
L-Rhamnose,L-Rhamnose,-1,,L-Glutamic acid,L-Glutamic acid
L-Serine,L-Serine,-1,,L-Glutamine,L-Glutamine
L-Threonine,L-Threonine,-1,,L-Isoleucine,L-Isoleucine
L-Valine,L-Valine,-1,,L-Leucine,L-Leucine
L-Valyl-L-leucine,L-Valyl-L-leucine,1,,l-Leucyl-l-valine,l-Leucyl-l-valine
Lignoceric acid,Lignoceric acid,-1,,L-Norvaline,L-Norvaline
Menthol,Menthol,-1,,L-Rhamnose,L-Rhamnose
Methylmaleic acid,Methylmaleic acid,1,,L-Serine,L-Serine
Methylsuccinic acid,Methylsuccinic acid,-1,,L-Threonine,L-Threonine
Monolaurin,Monolaurin,1,,L-Valine,L-Valine
Monomethyl succinate,Monomethyl succinate,-1,,L-Valyl-L-leucine,L-Valyl-L-leucine
Myristic acid,Myristic acid,-1,,Lignoceric acid,Lignoceric acid
N-(2-hydroxyethyl)-succinimide,N-(2-hydroxyethyl)-succinimide,-1,,Menthol,Menthol
N-Acetyl glucosamine methoxime,N-Acetyl glucosamine methoxime,-1,,Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside,Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside
"N-Acetyl-D-galactosamine, (R,R,R,R)","N-Acetyl-D-galactosamine, (R,R,R,R)",-1,,Methyl beta-Arabinofuranoside,Methyl beta-Arabinofuranoside
N-Acetyl-L-glutamic acid,N-Acetyl-L-glutamic acid,-1,,Methylsuccinic acid,Methylsuccinic acid
N-Acetylglucosamine,N-Acetylglucosamine,-1,,Monolaurin,Monolaurin
N-Methyl-alpha-aminoisobutyric acid,N-Methyl-alpha-aminoisobutyric acid,-1,,Monomethyl succinate,Monomethyl succinate
N-Methyl-L-proline,N-Methyl-L-proline,1,,Myristic acid,Myristic acid
Niacin,Niacin,-1,,N-(2-hydroxyethyl)-succinimide,N-(2-hydroxyethyl)-succinimide
Niacinamide,Niacinamide,-1,,N-Acetyl glucosamine methoxime,N-Acetyl glucosamine methoxime
Norketamine,Norketamine,1,,"N-Acetyl-D-galactosamine, (R,R,R,R)","N-Acetyl-D-galactosamine, (R,R,R,R)"
Octadecyl octyl ether,Octadecyl octyl ether,-1,,N-Acetyl-L-glutamic acid,N-Acetyl-L-glutamic acid
Octanoic acid,Octanoic acid,1,,N-Acetylglucosamine,N-Acetylglucosamine
Palmitic Acid,Palmitic Acid,-1,,N-Methyl-alpha-aminoisobutyric acid,N-Methyl-alpha-aminoisobutyric acid
Pentadecanoic acid,Pentadecanoic acid,-1,,N-Methyl-L-proline,N-Methyl-L-proline
Pentanedioic acid,Pentanedioic acid,-1,,"N,N-Diethyl-2-aminoethanol","N,N-Diethyl-2-aminoethanol"
Pentanoic acid,Pentanoic acid,-1,,Niacin,Niacin
"Pentitol, 3-desoxy","Pentitol, 3-desoxy",1,,Niacinamide,Niacinamide
Phenol,Phenol,-1,,Nonadecanoic acid,Nonadecanoic acid
Phenylalanine,Phenylalanine,-1,,Nonanoic acid,Nonanoic acid
Phloretic acid,Phloretic acid,-1,,Norketamine,Norketamine
Phloroglucinol,Phloroglucinol,1,,Octadecyl octyl ether,Octadecyl octyl ether
Picolinic acid,Picolinic acid,-1,,Octanoic acid,Octanoic acid
Pimelic acid,Pimelic acid,-1,,Palmitic Acid,Palmitic Acid
Pipecolic acid,Pipecolic acid,-1,,Pentadecanoic acid,Pentadecanoic acid
"Propane, 2-methyl","Propane, 2-methyl",-1,,Pentanoic acid,Pentanoic acid
pyrazole,pyrazole,-1,,"Pentitol, 3-desoxy","Pentitol, 3-desoxy"
Pyridoxic acid,Pyridoxic acid,-1,,Phenol,Phenol
Pyrogallol,Pyrogallol,-1,,phenoxyethanol,phenoxyethanol
Pyrrole-2-carboxylic acid,Pyrrole-2-carboxylic acid,-1,,Phenylalanine,Phenylalanine
Ribonic acid,Ribonic acid,-1,,Phloretic acid,Phloretic acid
Salsoline,Salsoline,-1,,Picolinic acid,Picolinic acid
Sebacic acid,Sebacic acid,-1,,Pimelic acid,Pimelic acid
Serine,Serine,-1,,Pipecolic acid,Pipecolic acid
Suberic acid,Suberic acid,-1,,"Propane, 2-methyl","Propane, 2-methyl"
Supraene,Supraene,1,,"Propanoic acid, 2-oxo","Propanoic acid, 2-oxo"
Syringaldehyde,Syringaldehyde,-1,,pyrazole,pyrazole
Tetrahydrogeranyl formate,Tetrahydrogeranyl formate,-1,,Pyridoxic acid,Pyridoxic acid
Thr-Leu,Thr-Leu,1,,Pyrogallol,Pyrogallol
Thymidine,Thymidine,-1,,Pyrrole-2-carboxylic acid,Pyrrole-2-carboxylic acid
Tricine,Tricine,-1,,Ribonic acid,Ribonic acid
"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate","Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",-1,,Sebacic acid,Sebacic acid
Tripropylene glycol monomethyl ether,Tripropylene glycol monomethyl ether,-1,,Serine,Serine
Tyrosine,Tyrosine,-1,,Suberic acid,Suberic acid
Undecanoic acid,Undecanoic acid,-1,,Supraene,Supraene
Uracil,Uracil,-1,,Syringaldehyde,Syringaldehyde
Urea,Urea,-1,,Tetrahydrogeranyl formate,Tetrahydrogeranyl formate
Uridine,Uridine,-1,,Thr-Leu,Thr-Leu
Vanillin,Vanillin,-1,,Thymidine,Thymidine
Xanthine,Xanthine,-1,,trans-Coniferryl alchool,trans-Coniferryl alchool
Xylazine,Xylazine,-1,,Tricine,Tricine
"Xylonic acid, delta-lactone","Xylonic acid, delta-lactone",1,,Tripropylene glycol monomethyl ether,Tripropylene glycol monomethyl ether
Xylose,Xylose,1,,Tyrosine,Tyrosine
,,,,Undecanoic acid,Undecanoic acid
,,,,Uracil,Uracil
,,,,Urea,Urea
,,,,Uridine,Uridine
,,,,Vanillin,Vanillin
,,,,Xanthine,Xanthine
,,,,Xylazine,Xylazine
,,,,"Xylonic acid, delta-lactone","Xylonic acid, delta-lactone"
,,,,Xylose,Xylose
