DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224
21.566275994088834,21.36156896985457,21.278227382097498,21.566275994088834,20.85775323035948,21.63965483051689,21.42405899916408,21.36156896985457,21.151328125650927,21.566275994088834,20.6292687562774,21.36156896985457,21.151328125650927,20.437043584347983
15.564115838261685,18.007855678299716,17.79122014145856,17.96713333278627,17.79122014145856,18.40008695193352,18.929456495102794,18.090663406345644,17.128341573761485,18.572420897099427,17.313901308851932,,17.79122014145856,17.79122014145856
30.370043719919497,,33.78547332532239,33.78547332532239,32.00781944442083,,26.567254262059528,32.00781944442083,32.65987336076064,,30.7823453433383,29.976899253025323,30.942609521468622,
,,,6.033603261326803,2.229733197380392e-06,,6.033603261326803,5.7610837394771846,,3.026346101989217,0.5989360822462241,,,1.8466198968201704
20.6292687562774,19.977070348849676,19.977070348849676,20.239280036683237,18.206837600992994,19.236639097669983,19.044780457273152,18.964499198463745,18.816900848646988,19.977070348849676,19.311341046599278,20.85775323035948,20.159049269761585,19.236639097669983
22.10136387655403,,24.69908251133796,,23.953297105679837,23.82958488643099,25.140663431027427,23.920579189958964,,,,26.651849462366915,22.262186034564476,22.991190162689342
,,,,,,,26.45236086775373,,,,,,
,,,,,,,19.236639097669983,17.73101607564761,20.437043584347983,,,,
23.417291798715073,23.072538359028545,22.991190162689342,23.53191592986123,22.81629933915454,22.991190162689342,23.072538359028545,22.76118107855382,,,,19.236639097669983,,
22.663346963173684,20.85775323035948,20.349076790547734,21.278227382097498,18.47862430573336,18.007855678299716,19.82917893481498,13.487298878543296,19.977070348849676,19.82917893481498,19.977070348849676,22.663346963173684,18.929456495102794,18.816900848646988
21.42405899916408,20.437043584347983,19.511528355008892,18.572420897099427,,17.96713333278627,20.53009211757007,,20.060474603176946,19.12715709241501,20.159049269761585,21.03415127487163,18.299161313868307,16.700122639813483
22.60513085670781,24.304911461865277,25.248245599251963,25.313618060977973,25.404802973180967,25.140663431027427,,25.404802973180967,23.584213588252027,24.952119430962735,24.617441356369007,23.77270330773383,25.58298494600797,25.792817913981178
19.044780457273152,19.55840932952848,20.53009211757007,21.151328125650927,20.6292687562774,20.53009211757007,20.060474603176946,21.03415127487163,19.044780457273152,20.944682697362236,19.82917893481498,19.192546564593975,20.85775323035948,20.349076790547734
22.54252442178061,22.991190162689342,23.870386627878066,24.241680361020343,23.99000942053065,23.584213588252027,22.336032499821254,24.419963405671634,22.60513085670781,23.072538359028545,23.53191592986123,23.35257549176473,23.99000942053065,24.187462616991436
24.419963405671634,25.050447238005177,25.6563659490016,26.341187662588105,26.45236086775373,25.491807134917025,25.58298494600797,26.341187662588105,24.617441356369007,25.96252317418443,24.952119430962735,24.13416838153767,25.741137750046672,26.023750424771674
21.278227382097498,21.9535073039897,,,20.349076790547734,21.811268708817973,21.151328125650927,20.437043584347983,21.566275994088834,21.36156896985457,20.776972835570746,21.278227382097498,,
25.491807134917025,25.491807134917025,25.58298494600797,26.023750424771674,25.58298494600797,25.741137750046672,25.96252317418443,25.58298494600797,25.792817913981178,25.89217197325309,25.248245599251963,25.140663431027427,25.404802973180967,25.6563659490016
16.894290018224726,18.40008695193352,17.96713333278627,18.007855678299716,19.192546564593975,18.697253042531315,18.47862430573336,19.044780457273152,15.794924887690241,18.87000098295748,18.76637914203081,,18.816900848646988,19.55840932952848
,,,,24.13416838153767,,22.430766960994436,,,,,,,24.491789288861316
,,,,,,,,,,,,,
,17.313901308851932,21.151328125650927,20.715974098065832,,21.36156896985457,,20.349076790547734,,,,20.6292687562774,,20.776972835570746
,,20.6292687562774,16.38716185479659,,,,,16.38716185479659,17.79122014145856,,16.954735439681233,16.700122639813483,
22.991190162689342,25.741137750046672,24.491789288861316,25.248245599251963,25.140663431027427,25.6563659490016,25.050447238005177,,26.8471068534773,25.248245599251963,24.361767611067528,25.792817913981178,26.567254262059528,25.58298494600797
24.791158461587774,26.341187662588105,26.341187662588105,26.50296267227539,26.96160059936936,26.124112340107267,26.124112340107267,25.96252317418443,26.269939079141064,26.567254262059528,26.124112340107267,24.854862067442433,26.50296267227539,26.651849462366915
15.925482683255618,13.019379474962212,14.22183651652919,15.564115838261685,11.053448878828174,16.78619280811605,15.925482683255618,11.432133533201073,1.8466198968201704,14.77794148459306,13.487298878543296,14.22183651652919,14.91150018039568,13.17498269461429
,,,,,,,27.004989997162102,25.313618060977973,26.269939079141064,24.791158461587774,25.89217197325309,,26.06651650878252
19.36205780789064,19.723751953711417,19.82917893481498,18.87000098295748,19.41868971884918,19.41868971884918,20.239280036683237,19.626871308510992,19.236639097669983,,19.511528355008892,19.791251716821705,19.12715709241501,18.572420897099427
18.929456495102794,20.6292687562774,21.49512426745769,22.017772579784815,21.278227382097498,20.159049269761585,20.349076790547734,20.239280036683237,19.90628699179653,21.63965483051689,20.349076790547734,19.55840932952848,21.811268708817973,21.36156896985457
19.236639097669983,18.697253042531315,18.697253042531315,19.192546564593975,18.007855678299716,18.964499198463745,,18.572420897099427,18.572420897099427,,18.47862430573336,18.87000098295748,18.527065735233002,18.007855678299716
,19.90628699179653,20.85775323035948,,20.437043584347983,,,,,21.811268708817973,20.944682697362236,,,21.278227382097498
26.50296267227539,26.567254262059528,26.567254262059528,26.567254262059528,26.06651650878252,26.45236086775373,26.50296267227539,26.023750424771674,26.651849462366915,26.96160059936936,26.341187662588105,26.50296267227539,26.387010738920857,26.50296267227539
,,,,,,,,,,,19.36205780789064,,
,,,,,,,,,,,,,
