node1,node2
Lmtk3__CPX,DL-Phenylalanine__FEC
Cyyr1__CPX,DL-Phenylalanine__FEC
Cdkn1c__CPX,DL-Phenylalanine__FEC
Ap3b1__CPX,DL-Phenylalanine__FEC
Rhob__CPX,DL-Phenylalanine__FEC
Mtpn__CPX,DL-Phenylalanine__FEC
Pi4ka__CPX,DL-Phenylalanine__FEC
Pbx1__CPX,DL-Phenylalanine__FEC
Tulp4__CPX,DL-Phenylalanine__FEC
Wbp4__CPX,DL-Phenylalanine__FEC
Vps13b__CPX,DL-Phenylalanine__FEC
Setx__CPX,DL-Phenylalanine__FEC
Fundc2__CPX,DL-Phenylalanine__FEC
Stag2__CPX,DL-Phenylalanine__FEC
Phactr2__CPX,DL-Phenylalanine__FEC
Smarca5__CPX,DL-Phenylalanine__FEC
Dhx9__CPX,DL-Phenylalanine__FEC
Adcy9__CPX,"Gluconolactone (3R,4S,5R,6R)__FEC"
Nfe2l2__CPX,"Gluconolactone (3R,4S,5R,6R)__FEC"
Dynlt2b__CPX,"Gluconolactone (3R,4S,5R,6R)__FEC"
Gm43568__CPX,"Gluconolactone (3R,4S,5R,6R)__FEC"
Smim10l1__CPX,"Gluconolactone (3R,4S,5R,6R)__FEC"
Gnas__CPX,"Gluconolactone (3R,4S,5R,6R)__FEC"
5430402O13Rik__CPX,"Gluconolactone (3R,4S,5R,6R)__FEC"
Fn3krp__CPX,L-Isoleucine__FEC
Ctdspl2__CPX,L-Isoleucine__FEC
Pdlim5__CPX,L-Isoleucine__FEC
Lmtk3__CPX,L-Isoleucine__FEC
Cyyr1__CPX,L-Isoleucine__FEC
Lepr__CPX,L-Isoleucine__FEC
Osbp__CPX,L-Isoleucine__FEC
Klf3__CPX,L-Isoleucine__FEC
Ccdc148__CPX,L-Isoleucine__FEC
Cdkn1c__CPX,L-Isoleucine__FEC
Mrps18a__CPX,L-Isoleucine__FEC
Smim10l1__CPX,L-Isoleucine__FEC
Stk26__CPX,L-Isoleucine__FEC
Iqgap2__CPX,L-Isoleucine__FEC
Gnas__CPX,L-Isoleucine__FEC
Pi4ka__CPX,L-Isoleucine__FEC
Pbx1__CPX,L-Isoleucine__FEC
Golm2__CPX,L-Isoleucine__FEC
Vps13b__CPX,L-Isoleucine__FEC
Ahcyl2__CPX,L-Isoleucine__FEC
Myof__CPX,L-Isoleucine__FEC
Nsmf__CPX,L-Isoleucine__FEC
Serp2__CPX,L-Isoleucine__FEC
Rpp30__CPX,L-Isoleucine__FEC
Gtpbp4__CPX,L-Isoleucine__FEC
Stxbp4__CPX,L-Isoleucine__FEC
Ankmy2__CPX,5-Oxohexanoic Acid__FEC
Poglut1__CPX,5-Oxohexanoic Acid__FEC
Grcc10__CPX,5-Oxohexanoic Acid__FEC
4632415L05Rik__CPX,5-Oxohexanoic Acid__FEC
Usf3__CPX,Deoxycholic Acid__FEC
Usf3__CPX,D-Fructose__FEC
Smarca2__CPX,Deoxycholic Acid__FEC
Gdpd3__CPX,Deoxycholic Acid__FEC
Smim15__CPX,Deoxycholic Acid__FEC
Fgl2__CPX,Deoxycholic Acid__FEC
Pla2g3__CPX,D-Fructose__FEC
Strada__CPX,D-Fructose__FEC
Zkscan8__CPX,D-(-)-Fructopyranose__FEC
Kpna4__CPX,D-(-)-Fructopyranose__FEC
Sh3bgrl2__CPX,D-(-)-Fructopyranose__FEC
Ube3c__CPX,D-(-)-Fructopyranose__FEC
