n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
ENSMUSG00000078451-C,Salsoline,,,2,-1.0,0.0,3,,,2,-1.0,0.0,7,1,True,-,0.0
ENSMUSG00000078532-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000078653-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000078653-C,2-Cyanobenzaldehyde,,,1,,,0,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000078700-C,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",,,2,-1.0,0.0,3,-1.0,0.0,3,-0.9761904761904764,3.3143960262001043e-05,8,2,True,-,0.004085231548048909
ENSMUSG00000078700-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000078700-C,2-Cyanobenzaldehyde,,,1,,,0,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000078716-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000079036-C,3-Hydroxymethyl-2-trimethylsilyloxypentane,,,0,,,1,1.0,0.0,3,1.0,0.0,4,1,True,+,0.0
ENSMUSG00000079434-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000083396-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000083563-C,Lupinine,,,0,,,1,1.0,0.0,3,1.0,0.0,4,1,True,+,0.0
ENSMUSG00000085037-C,Lactic acid,,,2,,,2,1.0,0.0,3,0.9642857142857144,0.0004541491691941,7,1,True,+,0.04729984303045725
ENSMUSG00000085037-C,Lupinine,,,0,,,1,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000085891-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000086291-C,3-Hydroxymethyl-2-trimethylsilyloxypentane,,,0,,,1,1.0,0.0,3,1.0,0.0,4,1,True,+,0.0
ENSMUSG00000086370-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000086822-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000086822-C,2-Cyanobenzaldehyde,,,1,,,0,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000087516-C,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",,,2,-1.0,0.0,3,-0.8660254037844387,0.3333333333333332,3,-0.9879518072289156,4.332844351410931e-06,8,2,True,-,0.0005458348460414384
