ID,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS_73_REP_190124,DSS_76_REP_190124,DSS_77_REP_190124,DSS_T0.7_180124
GROUP,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
4-(Methoxycarbonyl)phenol,17.00897067,12.91543477,15.04567024,15.40508811,18.15306319,17.03154309,17.37328372,16.21565555,15.55615121,14.37641612,13.35521154,13.83510942,18.51017463
"4-(tert-Butylamino)-6-ethylamino-5H-1,3,5-triazin-2-one",10.87441187,10.77936405,7.771536565,3.666980928,11.10245822,12.91543477,10.96763418,7.540516501,8.078487822,16.37440114,12.69235559,,
4-(Trimethylsilyoxy)-3-penten-2-one,20.85080801,21.85387841,21.40034816,20.18444468,21.44846378,21.94407874,21.94407874,21.44846378,21.57793522,21.40034816,22.18104577,21.90291854,22.23868736
"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",19.88431706,17.9359832,19.35357576,17.9359832,19.88431706,19.94786826,19.49072841,18.42569287,19.07553408,,,,
4-Cumylphenol,,,12.69235559,13.95929764,,,12.77266458,12.03832362,12.4919175,,,16.43187623,18.31955777
"4-Fluoroaniline, N-trimethylsilyl-",22.50923693,22.73963344,22.8081188,21.47387464,22.3648566,22.41266988,22.33727444,22.41266988,22.60335594,23.06461365,23.43092109,23.23247857,23.9987918
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,,,,22.30432585,22.23868736,,,,,20.13023649,18.18112051,20.90424817,21.60767614
4-Hydroxybenzaldehyde,19.4230192,19.88431706,19.91566389,19.49072841,19.6296138,19.58767135,20.31399973,20.10978429,19.56978922,22.33727444,22.55350385,22.3648566,21.06428331
4-Hydroxybenzeneacetic acid,,,,11.96007183,,,,,,16.13854448,16.04304197,15.91067079,16.68757869
4-Hydroxybenzoic acid,22.92354523,23.71646045,22.92354523,23.39212426,25.45684602,23.67404147,23.67404147,23.63614346,23.28568076,25.34644722,26.08310847,25.45684602,22.55350385
4-Hydroxybutanoic acid,18.80444913,18.74513236,19.49072841,19.3778084,21.75448254,19.6296138,20.59824708,20.18444468,19.13231529,21.29634727,20.97790952,21.17080503,
4-Hydroxyphenyllactic acid,17.96954725,17.44445169,17.51162721,17.85878822,18.11054733,16.21565555,18.26504527,18.31955777,17.9359832,19.18758105,,19.27809319,19.68586337
4-Methoxyphenol,20.57438847,20.69686746,20.33875188,20.07442853,20.69686746,20.55279274,20.7272631,19.94786826,20.43082443,21.0216307,21.60767614,21.64729334,22.73963344
"4-Methylethcathinone, N-acetyl-",19.6296138,18.98218827,17.9359832,19.68586337,18.01194581,17.17882994,18.74513236,16.17338507,16.3316947,,,,
4-Methylvaleric acid,15.91067079,16.76385171,17.68358059,16.29669433,18.42569287,16.79335043,17.65033633,18.01194581,18.65464899,17.80327182,18.21595138,18.68132832,19.94786826
4-Pyridinol,29.29902845,29.81327801,31.15675534,27.44710764,29.93870585,30.4570814,30.03081743,30.30087493,28.97338374,29.29902845,30.13788547,30.03081743,30.03081743
"4,4,5,8-Tetramethyl-chroman-2-one",15.82994994,14.61389388,,16.856624,15.55615121,15.9906091,14.69237704,,15.40508811,,,,
5-(2-Aminopropyl)-2-methylphenol,31.53197675,31.84121898,32.3377791,29.69514395,31.15675534,32.50730296,31.84121898,31.96792753,31.53197675,29.55723865,31.53197675,29.81327801,
5-Aminovaleric acid,,,,,,,,,,25.74843576,26.52611711,25.65375762,
"5-Androsten-17alpha-methyl-3beta,17beta-diol",,,7.96736878,,19.94786826,,9.996968364,5.871401689,5.363007629,13.40026692,12.17581506,13.35521154,21.75448254
"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]- ",20.21820515,24.38950885,22.14273214,19.75725505,21.33081219,21.22512679,21.50330639,23.82125404,20.46545593,21.75448254,25.23727152,20.85080801,23.06461365
5-Ethyluracil,,13.83510942,,18.9600039,,,,13.73358567,13.63504052,,,16.64258961,
5-Henicosylresorcinol,10.22792834,,,8.159372166,,10.58144185,,,8.329782236,8.988656313,,,14.8950131
5-Hydroxy-L-tryptophan,22.60335594,23.28568076,22.07788483,22.77394851,22.69162315,23.06461365,23.49971423,23.31473498,23.06461365,25.83053674,25.95667431,24.27524702,
5-Hydroxyquinoline,19.1046924,20.18444468,18.92948322,16.57853019,18.90071766,19.71259798,19.6296138,18.62320953,19.75725505,21.25527282,23.00170775,21.80203208,
5-Hydroxytryptophan,12.69235559,17.17882994,18.29473955,15.21671253,,16.25524017,16.68757869,,13.58682918,16.89063007,17.13799735,17.24006299,18.85979253
5-Methyluridine,22.69162315,,23.16278385,24.34618777,23.54182311,,23.28568076,23.71646045,23.71646045,,,,
"5,10-Diethoxy-2,3,7,8-tetrahydro-1H,6H-dipyrrolo[1,2-a:1',2'-d]pyrazine ",15.69162437,10.68423951,,17.77986919,11.16356277,11.24144082,12.88452541,,12.29674781,18.83070789,18.11054733,18.54548502,
"5,6-Dihydro-5-methyluracil",,18.07686419,18.01194581,20.64118511,16.51427462,,16.94229767,,18.15306319,,,,
"5,6-Dimethyl-4-phenyl-3-cyanopyridine-2(1H)-thione",19.31692204,19.6296138,,,19.1046924,,,,,,13.83510942,13.99757221,
