,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224
"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester",27.21934825959647,28.328763097489578,28.597049460306497,,28.73936053878384
L-Ornithine,,15.39656988471546,,,24.187462616991436
L-Pyroglutamic acid,23.616437364521392,,,,20.060474603176942
L-Serine,,,,,19.236639097669983
L-Threonine,23.584213588252027,23.29594091395716,,19.31134104659928,
L-Tryptophan,17.044039991717742,11.432133533201071,12.34021900334536,15.267001008214582,8.959893012120766
L-Tyrosine,26.651849462366915,24.952119430962735,,27.21934825959647,25.313618060977973
Luciferin,,,5.4519271051056934,11.73344589311528,
Lupinine,,20.349076790547738,,,19.82917893481498
L-Valine,23.920579189958964,22.10136387655403,22.663346963173684,23.151992757960304,21.811268708817973
L-Val-L-Leu,30.7823453433383,,,,
Malic acid,23.29594091395716,21.70761198277439,22.10136387655403,21.49512426745769,19.90628699179653
Maltol,,,,,
Methanesulfonic acid,24.952119430962735,23.616437364521392,22.430766960994436,23.674356384455788,19.55840932952848
Methyl lactate,17.504940337930993,17.504940337930993,17.917954706335404,17.67570612907752,17.504940337930993
Methylsuccinic acid,,,,,
Methylthiouracil,24.854862067442433,23.151992757960304,22.017772579784815,22.663346963173684,20.239280036683237
Mevalonolactone,16.207484324420978,19.31134104659928,19.41868971884918,19.41868971884918,19.36205780789064
Monocaproin,27.439594575526513,26.96160059936936,26.651849462366915,27.60464096162688,
m-Toluic acid,18.20683760099299,17.259371352214917,17.420656950089175,17.848056725654924,16.267931772699097
Myristic acid,20.776972835570746,20.239280036683237,20.715974098065832,20.6292687562774,19.977070348849676
"N,N-Dimethyl-2-aminoethanol",32.00781944442083,29.976899253025323,28.863827445577932,30.370043719919497,
"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,,,
N-Acetylaminoethanol,29.754289059653733,30.7823453433383,30.942609521468626,31.21036514314471,30.942609521468626
N-Acetylaspartic acid,16.38716185479659,20.060474603176942,19.626871308510992,19.723751953711417,16.894290018224726
N-Acetyl-L-alanine,19.31134104659928,18.92945649510279,18.92945649510279,19.511528355008892,19.12715709241501
"Naringenin 4',7-dimethylether",20.159049269761585,16.548397760488008,17.605330159289814,19.82917893481498,17.96713333278627
N-Caffeoyl-O-methyltyramine,11.999708944648896,3.026346101989217,8.64390924178897,11.432133533201071,3.515329454763203
N-Ethylamphetamine,,27.004989997162102,27.21934825959647,,27.21934825959647
N-Ethyldiethanolamine,23.072538359028545,22.81629933915454,23.151992757960304,22.54252442178061,22.017772579784815
Niacin,17.605330159289814,15.564115838261683,16.78619280811605,16.10708189958663,14.021419364841742
Niacinamide,28.022288157553156,26.779800290688794,26.387010738920857,26.779800290688794,26.8471068534773
N-Isobutyrylglycine,26.341187662588105,26.200929917790297,26.200929917790297,23.484143310267747,26.023750424771674
N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,,11.999708944648896,13.487298878543296,15.02985544620005,8.203468926465137
N-Methylacetamide,26.124112340107267,26.45236086775373,26.45236086775373,26.651849462366915,26.651849462366915
Nonanoic acid,28.220824986859174,28.022288157553156,28.220824986859174,28.504702814838293,27.439594575526513
Norephedrine,,,29.754289059653733,28.139723574834868,28.022288157553156
Norketamine,12.73466395698144,5.2319467103497415,6.033603261326803,10.101353297214947,1.8466198968201704
"Norleucine, N-trimethylsilyl-",,,,,
Octacosanol,23.953297105679837,,25.050447238005177,,24.952119430962735
"Octadecanoic acid, octyl ester",,,,,
Octadecanoic acid,,8.64390924178897,,,5.7610837394771846
Octanoic acid,25.404802973180967,25.140663431027427,25.491807134917025,26.06651650878252,
Octocrylene,,,,,
