n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent
2-Amino-4-methylbenzophenone,Cycloheptanol,0.5,0.6666666666666667,3,-0.8999999999999998,0.0373860734684987,5,0.4616902584383193,0.4337661561690278,5,-0.1294770753262185,0.6733317078645087,13,3,False
2-Amino-4-methylbenzophenone,"Cyclohexanone, 3,3,5-trimethyl",1.0,0.0,3,0.4999999999999999,0.3910022189557705,5,0.6000000000000001,0.3999999999999999,4,0.4545454545454546,0.1376579163477294,12,3,True
2-Amino-4-methylbenzophenone,Cyclooctylamine,1.0,0.0,3,0.6155870112510925,0.2689977701158222,5,0.8999999999999998,0.0373860734684987,5,0.6519436517295992,0.0157524290019996,13,3,True
2-Amino-4-methylbenzophenone,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",1.0,0.0,3,-0.8999999999999998,0.0373860734684987,5,-0.1538967528127731,0.8048288166080632,5,-0.258954150652437,0.3929343325083539,13,3,False
2-Amino-4-methylbenzophenone,"Cytosine, N-(tert-butyldimethylsilyl)-",0.8660254037844387,0.3333333333333332,3,-0.8999999999999998,0.0373860734684987,5,0.3999999999999999,0.5046315754686911,5,-0.2013810344228948,0.5094205880071835,13,3,False
2-Amino-4-methylbenzophenone,Diacetyl monoxime,0.0,1.0,3,-0.8999999999999998,0.0373860734684987,5,0.1999999999999999,0.747060078104662,5,-0.5303948353054366,0.0622285489300325,13,3,False
2-Amino-4-methylbenzophenone,Diethylamine,1.0,0.0,3,-0.0999999999999999,0.8728885715695383,5,0.7,0.1881204043741872,5,0.3081158348132085,0.3057472095594615,13,3,False
2-Amino-4-methylbenzophenone,DL-Glyceraldehyde,0.8660254037844387,0.3333333333333332,3,0.1538967528127731,0.8048288166080632,5,0.6,0.2847569798652937,5,0.3019494847042401,0.316025994640703,13,3,True
2-Amino-4-methylbenzophenone,DL-p-Hydroxyphenyllactic acid,-0.5,0.6666666666666667,3,-0.6000000000000001,0.3999999999999999,4,0.5642880936468347,0.3217233358243002,5,0.0945710732256767,0.7700195826820102,12,3,False
2-Amino-4-methylbenzophenone,"Dodecanoic acid, 1-methylethyl ester",0.5,0.6666666666666667,3,-0.8999999999999998,0.0373860734684987,5,0.3999999999999999,0.5046315754686911,5,-0.2369154995330807,0.4357824882858752,13,3,False
2-Amino-4-methylbenzophenone,Dodecanoic acid,-0.5,0.6666666666666667,3,-0.8999999999999998,0.0373860734684987,5,0.0,1.0,5,-0.4502831153895112,0.1225802452526717,13,3,False
2-Amino-4-methylbenzophenone,"D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",0.5,0.6666666666666667,3,-0.7999999999999999,0.2,4,0.8207826816681233,0.0885870053135438,5,0.0980737055673684,0.7617153278260849,12,3,False
2-Amino-4-methylbenzophenone,Durapan,,,0,-0.6,0.2847569798652937,5,-0.7999999999999999,0.1040880386618278,5,-0.6181818181818182,0.0426455698053266,11,2,True
2-Amino-4-methylbenzophenone,"Erythrono-1,4-lactone",-0.5,0.6666666666666667,3,-0.1999999999999999,0.747060078104662,5,0.7999999999999999,0.1040880386618278,5,0.2825582333929586,0.3495901909772396,13,3,False
2-Amino-4-methylbenzophenone,Ethanolamine,-0.5,0.6666666666666667,3,0.8207826816681233,0.0885870053135438,5,-0.2051956704170308,0.7405819415910722,5,-0.3213407360155215,0.2843523545177599,13,3,False
2-Amino-4-methylbenzophenone,Formamide,-0.5,0.6666666666666667,3,-0.2051956704170308,0.7405819415910722,5,-0.1538967528127731,0.8048288166080632,5,-0.5995550417081625,0.030325578356751,13,3,True
2-Amino-4-methylbenzophenone,Frangulin,0.5,0.6666666666666667,3,-1.0,0.0,4,0.948683298050514,0.0513167019494861,4,-0.0136674614273461,0.9681862209072394,11,3,False
2-Amino-4-methylbenzophenone,Glycerol,0.0,1.0,3,-1.0,1.4042654220543672e-24,5,0.7,0.1881204043741872,5,0.0774569006556645,0.8014187017895582,13,3,False
2-Amino-4-methylbenzophenone,Glycine,0.5,0.6666666666666667,3,-1.0,0.0,4,0.1025978352085154,0.8695979205185651,5,-0.4280728105517273,0.1650528063694129,12,3,False
2-Amino-4-methylbenzophenone,"Glycine, tert.-butyldimethylsilyl ester",0.5,0.6666666666666667,3,-0.8207826816681233,0.0885870053135438,5,0.1538967528127731,0.8048288166080632,5,-0.4965559967540375,0.0843308181183005,13,3,False
2-Amino-4-methylbenzophenone,Glycolic acid,-0.5,0.6666666666666667,3,0.6,0.2847569798652937,5,0.3077935056255462,0.614384002810333,5,0.1572427255082877,0.6079292395803791,13,3,False
2-Amino-4-methylbenzophenone,Guanosine,,,0,-0.3999999999999999,0.6,4,-0.7999999999999999,0.2,4,-0.6025157343041205,0.0859533575405879,9,2,True
2-Amino-4-methylbenzophenone,Heptanoic acid,-0.5,0.6666666666666667,3,-0.6668859288553501,0.2188939813132316,5,-0.3,0.6238376647810728,5,-0.0744833962933994,0.808913065017844,13,3,True
2-Amino-4-methylbenzophenone,Heptylamine,,,0,-0.7999999999999999,0.2,4,-1.0,0.0,4,-0.8151548326115373,0.0074237813734946,9,2,True
2-Amino-4-methylbenzophenone,Hexacosanoic acid,,,0,-1.0,0.0,4,0.632455532033676,0.367544467966324,4,-0.3048837166595521,0.3916799825200183,10,2,False
2-Amino-4-methylbenzophenone,Hexanoic acid,-0.5,0.6666666666666667,3,-0.2051956704170308,0.7405819415910722,5,0.1999999999999999,0.747060078104662,5,-0.4028637973587551,0.1722918218991058,13,3,False
2-Amino-4-methylbenzophenone,Hydracrylic acid,-0.5,0.6666666666666667,3,0.0999999999999999,0.8728885715695383,5,0.8999999999999998,0.0373860734684987,5,0.4759289234168309,0.1001848049847365,13,3,False
2-Amino-4-methylbenzophenone,"Hymexazole, tert-butyldimethylsilyl ether",-1.0,0.0,3,-0.7,0.1881204043741872,5,-0.8999999999999998,0.0373860734684987,5,-0.8280613060604979,0.0004726320507779,13,3,True
2-Amino-4-methylbenzophenone,Hypoxanthine,-0.5,0.6666666666666667,3,-0.7,0.1881204043741872,5,-0.0999999999999999,0.8728885715695383,5,-0.4209082386287581,0.1520697531476799,13,3,True
2-Amino-4-methylbenzophenone,Iminodiacetic acid,-0.5,0.6666666666666667,3,-0.6155870112510925,0.2689977701158222,5,0.7,0.1881204043741872,5,-0.1933731170384404,0.5267439661113164,13,3,False
2-Amino-4-methylbenzophenone,Isobutanol,0.5,0.6666666666666667,3,0.316227766016838,0.683772233983162,4,0.4999999999999999,0.3910022189557705,5,0.6877235317060539,0.0134428142403006,12,3,True
2-Amino-4-methylbenzophenone,Isonicotinic Acid,0.5,0.6666666666666667,3,-0.1999999999999999,0.747060078104662,5,-0.3,0.6238376647810728,5,-0.4903216402995458,0.0889256400941638,13,3,False
2-Amino-4-methylbenzophenone,Isopropyl palmitate,0.0,1.0,3,-0.8999999999999998,0.0373860734684987,5,0.3590924232298039,0.5528147466433505,5,-0.2427606990303389,0.4242001741185238,13,3,False
2-Amino-4-methylbenzophenone,Isopropylamine,-0.5,0.6666666666666667,3,0.6,0.2847569798652937,5,0.0,1.0,5,-0.0303031452891149,0.9217166854694424,13,3,False
2-Amino-4-methylbenzophenone,Ketamine,-0.5,0.6666666666666667,3,-0.3,0.6238376647810728,5,-0.3999999999999999,0.5046315754686911,5,-0.5186251297466333,0.0693870028346242,13,3,True
2-Amino-4-methylbenzophenone,"Kojic acid, bis(tert-butyldimethylsilyl) ether",-1.0,0.0,3,-0.8999999999999998,0.0373860734684987,5,-0.7999999999999999,0.1040880386618278,5,-0.8280613060604979,0.0004726320507779,13,3,True
2-Amino-4-methylbenzophenone,Lactic acid,-0.5,0.6666666666666667,3,0.948683298050514,0.0513167019494861,4,-0.6,0.2847569798652937,5,-0.1968392912764866,0.5397591699292583,12,3,False
2-Amino-4-methylbenzophenone,L-Alanine,-0.8660254037844387,0.3333333333333332,3,-0.9746794344808964,0.0048182304681985,5,-0.0512989176042577,0.934712848108234,5,-0.3668996928526714,0.2175162755977822,13,3,True
2-Amino-4-methylbenzophenone,Leucylglycine,,,0,0.3,0.6238376647810728,5,-0.3,0.6238376647810728,5,-0.0272727272727272,0.9365584481926122,11,2,False
2-Amino-4-methylbenzophenone,Levulinic acid,0.0,1.0,3,-0.3590924232298039,0.5528147466433505,5,-0.0512989176042577,0.934712848108234,5,-0.2770178758754495,0.3595215299702428,13,3,False
