n1,n2,edge_dir
"Hymexazole, tert-butyldimethylsilyl ether",2-Amino-4-methylbenzophenone,-1
"Kojic acid, bis(tert-butyldimethylsilyl) ether",2-Amino-4-methylbenzophenone,-1
3-Aminobenzoic acid,6-Methyluracil,1
Durapan,6-Methyluracil,1
"Hymexazole, tert-butyldimethylsilyl ether",6-Methyluracil,1
"Kojic acid, bis(tert-butyldimethylsilyl) ether",6-Methyluracil,1
Methanesulfonic acid,6-Methyluracil,1
Methylthiouracil,6-Methyluracil,1
Pinosylvin,6-Methyluracil,1
3-Aminobenzoic acid,"Hymexazole, tert-butyldimethylsilyl ether",1
Cholesterol,"Hymexazole, tert-butyldimethylsilyl ether",1
Durapan,"Hymexazole, tert-butyldimethylsilyl ether",1
"Kojic acid, bis(tert-butyldimethylsilyl) ether","Hymexazole, tert-butyldimethylsilyl ether",1
Methanesulfonic acid,"Hymexazole, tert-butyldimethylsilyl ether",1
Methylthiouracil,"Hymexazole, tert-butyldimethylsilyl ether",1
Pinosylvin,"Hymexazole, tert-butyldimethylsilyl ether",1
3-Aminobenzoic acid,"Kojic acid, bis(tert-butyldimethylsilyl) ether",1
Durapan,"Kojic acid, bis(tert-butyldimethylsilyl) ether",1
Heptylamine,"Kojic acid, bis(tert-butyldimethylsilyl) ether",1
Methanesulfonic acid,"Kojic acid, bis(tert-butyldimethylsilyl) ether",1
Methylthiouracil,"Kojic acid, bis(tert-butyldimethylsilyl) ether",1
Pinosylvin,"Kojic acid, bis(tert-butyldimethylsilyl) ether",1
Yangonin,1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,1
1-Octadecanol,Vanillylmandelic acid,1
"2,2'-Bipyridine",Vanillylmandelic acid,1
2-Decanol,Vanillylmandelic acid,1
Citramalic acid,Vanillylmandelic acid,1
Diacetyl monoxime,Vanillylmandelic acid,1
"2,2'-Bipyridine",1-Octadecanol,1
2-Decanol,1-Octadecanol,1
2-Pentadecanone,1-Octadecanol,1
3-Buten-2-one,1-Octadecanol,1
"5-Nonanol, tert-butyldimethylsilyl ether",1-Octadecanol,1
Citramalic acid,1-Octadecanol,1
Diacetyl monoxime,1-Octadecanol,1
Thymol,1-Octadecanol,1
2-Decanol,"2,2'-Bipyridine",1
"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester","2,2'-Bipyridine",-1
Diacetyl monoxime,2-Decanol,1
"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester",2-Decanol,-1
"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester",3-Buten-2-one,-1
"2,5-Dimethoxyphenol",Malic acid,-1
"3,4-Methylenedioxyamphetamine",Malic acid,1
Cyclooctylamine,Malic acid,-1
5-Oxohexanoic Acid,"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester",-1
Xylazine,"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester",-1
N-Acetylaminoethanol,"2,3-Dihydroxybutanoic acid",1
"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",N-Acetylaminoethanol,-1
Isobutanol,"2,4,6-Cycloheptatrien-1-one",-1
Methylthiouracil,Isobutanol,-1
Durapan,3-Aminobenzoic acid,1
Methanesulfonic acid,3-Aminobenzoic acid,1
Methylthiouracil,3-Aminobenzoic acid,1
Pinosylvin,3-Aminobenzoic acid,1
"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",Durapan,-1
Methanesulfonic acid,Durapan,1
Methylthiouracil,Durapan,1
Pinosylvin,Durapan,1
2-Hexanol,Methanesulfonic acid,-1
Methylthiouracil,Methanesulfonic acid,1
Phenoxyethanol,Methanesulfonic acid,1
Pinosylvin,Methanesulfonic acid,1
"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",Methylthiouracil,1
Ketamine,Methylthiouracil,1
Phenoxyethanol,Methylthiouracil,1
Pinosylvin,Methylthiouracil,1
Phenoxyethanol,Pinosylvin,1
"Cyclohexanone, 3,3,5-trimethyl","2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",-1
Cyclooctylamine,"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",-1
Trimethylolpropane,"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",1
2-Methyl-3-pentanol,"Cyclohexanone, 3,3,5-trimethyl",1
L-Threonine,"Cyclohexanone, 3,3,5-trimethyl",-1
"2,5-Dimethoxyphenol",Cyclooctylamine,1
"3,4-Methylenedioxyamphetamine","2,5-Dimethoxyphenol",-1
Benzyl alcohol,Ketamine,1
8-Methylnonanoic acid,2-Methyl-3-pentanol,1
"Benzene, 1,4-dimethoxy",2-Methyl-3-pentanol,1
Trimethylolpropane,Diethylamine,1
Uracil,"3,4-Methylenedioxyamphetamine",1
"Naringenin 4',7-dimethylether",Trimethylolpropane,1
Benzophenone,2-Butoxyethanol,1
Iminodiacetic acid,2-Butoxyethanol,1
"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",Benzophenone,1
2-Hydroxy-3-methylbutyric acid,Benzophenone,1
Frangulin,Benzophenone,1
N-Caffeoyl-O-methyltyramine,Iminodiacetic acid,1
Suberic acid,Iminodiacetic acid,1
N-Acetylaspartic acid,2-Ethylhexanoic acid,1
Pentanoic acid,2-Ethylhexanoic acid,1
2-Hydroxy-3-methylbutyric acid,"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",1
Butachlor ESA,"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",1
L-Tryptophan,"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",1
Suberic acid,"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",1
Butachlor ESA,2-Hydroxy-3-methylbutyric acid,1
DL-p-Hydroxyphenyllactic acid,2-Hydroxy-3-methylbutyric acid,1
Frangulin,2-Hydroxy-3-methylbutyric acid,1
Suberic acid,2-Hydroxy-3-methylbutyric acid,1
5-Azacytosine,Butachlor ESA,1
Isopropylamine,Butachlor ESA,-1
"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",L-Tryptophan,1
Heptylamine,L-Tryptophan,1
4-Oxohexanoic acid,Suberic acid,1
Aniline,DL-p-Hydroxyphenyllactic acid,1
Pipecolic acid,Myristic acid,1
Heptylamine,2-Naphthol,1
Cholesterol,Uracil,1
Tetrahydro-solasodine triacetate,"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",1
Phenoxyethanol,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",-1
Dodecanoic acid,Benzyl alcohol,1
Formamide,Hexanoic acid,1
"N,N-Dimethyl-2-aminoethanol",Cholesterol,1
